EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-11-2014
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SS   : sunshine in 0.1 Hours
30-34 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 105265) of ITALY, ROMA CIAMPINO (STAID: 176)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   SS, Q_SS
   176,105265,20000212,   18,    0
   176,105265,20000213,   85,    0
   176,105265,20000214,   81,    0
   176,105265,20000215,   30,    0
   176,105265,20000216,   47,    0
   176,105265,20000217,   45,    0
   176,105265,20000218,   97,    0
   176,105265,20000219,   57,    0
   176,105265,20000220,   88,    0
   176,105265,20000221,   95,    0
   176,105265,20000222,   64,    0
   176,105265,20000223,   89,    0
   176,105265,20000224,   95,    0
   176,105265,20000225,   98,    0
   176,105265,20000226,    0,    0
   176,105265,20000227,   18,    0
   176,105265,20000228,   80,    0
   176,105265,20000229,   54,    0
   176,105265,20000301,   10,    0
   176,105265,20000302,   32,    0
   176,105265,20000303,  100,    0
   176,105265,20000304,   17,    0
   176,105265,20000305,   97,    0
   176,105265,20000306,   70,    0
   176,105265,20000307,   87,    0
   176,105265,20000308,   88,    0
   176,105265,20000309,   96,    0
   176,105265,20000310,    0,    0
   176,105265,20000311,    2,    0
   176,105265,20000312,   10,    0
   176,105265,20000313,   32,    0
   176,105265,20000314,   70,    0
   176,105265,20000315,   22,    0
   176,105265,20000316,  106,    0
   176,105265,20000317,   96,    0
   176,105265,20000318,   84,    0
   176,105265,20000319,   41,    0
   176,105265,20000320,    0,    0
   176,105265,20000321,  105,    0
   176,105265,20000322,   95,    0
   176,105265,20000323,  100,    0
   176,105265,20000324,   10,    0
   176,105265,20000325,    0,    0
   176,105265,20000326,   75,    0
   176,105265,20000327,   22,    0
   176,105265,20000328,    0,    0
   176,105265,20000329,   27,    0
   176,105265,20000330,  102,    0
   176,105265,20000331,   82,    0
   176,105265,20000401,   74,    0
   176,105265,20000402,   72,    0
   176,105265,20000403,    0,    0
   176,105265,20000404,    2,    0
   176,105265,20000405,   75,    0
   176,105265,20000406,  104,    0
   176,105265,20000407,  110,    0
   176,105265,20000408,  100,    0
   176,105265,20000409,    0,    0
   176,105265,20000410,    0,    0
   176,105265,20000411,   11,    0
   176,105265,20000412,   95,    0
   176,105265,20000413,   70,    0
   176,105265,20000414,   10,    0
   176,105265,20000415,  102,    0
   176,105265,20000416,   58,    0
   176,105265,20000417,   23,    0
   176,105265,20000418,    0,    0
   176,105265,20000419,   35,    0
   176,105265,20000420,   74,    0
   176,105265,20000421,  116,    0
   176,105265,20000422,   63,    0
   176,105265,20000423,   69,    0
   176,105265,20000424,   75,    0
   176,105265,20000425,   96,    0
   176,105265,20000426,  108,    0
   176,105265,20000427,    5,    0
   176,105265,20000428,   15,    0
   176,105265,20000429,    0,    0
   176,105265,20000430,   64,    0
   176,105265,20000501,   80,    0
   176,105265,20000502,   25,    0
   176,105265,20000503,   66,    0
   176,105265,20000504,   98,    0
   176,105265,20000505,    1,    0
   176,105265,20000506,   92,    0
   176,105265,20000507,    9,    0
   176,105265,20000508,   92,    0
   176,105265,20000509,    0,    0
   176,105265,20000510,   50,    0
   176,105265,20000511,   52,    0
   176,105265,20000512,  100,    0
   176,105265,20000513,  115,    0
   176,105265,20000514,   74,    0
   176,105265,20000515,   92,    0
   176,105265,20000516,  122,    0
   176,105265,20000517,  125,    0
   176,105265,20000518,  124,    0
   176,105265,20000519,  108,    0
   176,105265,20000520,  120,    0
   176,105265,20000521,  102,    0
   176,105265,20000522,   44,    0
   176,105265,20000523,  120,    0
   176,105265,20000524,  102,    0
   176,105265,20000525,  116,    0
   176,105265,20000526,  115,    0
   176,105265,20000527,  101,    0
   176,105265,20000528,  100,    0
   176,105265,20000529,  104,    0
   176,105265,20000530,  125,    0
   176,105265,20000531,   67,    0
   176,105265,20000601,  124,    0
   176,105265,20000602,  120,    0
   176,105265,20000603,  124,    0
   176,105265,20000604,  125,    0
   176,105265,20000605,  120,    0
   176,105265,20000606,   86,    0
   176,105265,20000607,   35,    0
   176,105265,20000608,   92,    0
   176,105265,20000609,   82,    0
   176,105265,20000610,   98,    0
   176,105265,20000611,    3,    0
   176,105265,20000612,   70,    0
   176,105265,20000613,  122,    0
   176,105265,20000614,  125,    0
   176,105265,20000615,   87,    0
   176,105265,20000616,   75,    0
   176,105265,20000617,  110,    0
   176,105265,20000618,  124,    0
   176,105265,20000619,  127,    0
   176,105265,20000620,  130,    0
   176,105265,20000621,  121,    0
   176,105265,20000622,  136,    0
   176,105265,20000623,  118,    0
   176,105265,20000624,  108,    0
   176,105265,20000625,   75,    0
   176,105265,20000626,  120,    0
   176,105265,20000627,  121,    0
   176,105265,20000628,  123,    0
   176,105265,20000629,   50,    0
   176,105265,20000630,  120,    0
   176,105265,20000701,  121,    0
   176,105265,20000702,  125,    0
   176,105265,20000703,  120,    0
   176,105265,20000704,   68,    0
   176,105265,20000705,  128,    0
   176,105265,20000706,  123,    0
   176,105265,20000707,  113,    0
   176,105265,20000708,  120,    0
   176,105265,20000709,  120,    0
   176,105265,20000710,   88,    0
   176,105265,20000711,   75,    0
   176,105265,20000712,   94,    0
   176,105265,20000713,  122,    0
   176,105265,20000714,   84,    0
   176,105265,20000715,   95,    0
   176,105265,20000716,  118,    0
   176,105265,20000717,  121,    0
   176,105265,20000718,  122,    0
   176,105265,20000719,  120,    0
   176,105265,20000720,  117,    0
   176,105265,20000721,  123,    0
   176,105265,20000722,  125,    0
   176,105265,20000723,  116,    0
   176,105265,20000724,   72,    0
   176,105265,20000725,  110,    0
   176,105265,20000726,  119,    0
   176,105265,20000727,  123,    0
   176,105265,20000728,  121,    0
   176,105265,20000729,  125,    0
   176,105265,20000730,  125,    0
   176,105265,20000731,  121,    0
   176,105265,20000801,  125,    0
   176,105265,20000802,  120,    0
   176,105265,20000803,  118,    0
   176,105265,20000804,  110,    0
   176,105265,20000805,   52,    0
   176,105265,20000806,  111,    0
   176,105265,20000807,   52,    0
   176,105265,20000808,  120,    0
   176,105265,20000809,  114,    0
   176,105265,20000810,  122,    0
   176,105265,20000811,  122,    0
   176,105265,20000812,  118,    0
   176,105265,20000813,   76,    0
   176,105265,20000814,   99,    0
   176,105265,20000815,  118,    0
   176,105265,20000816,  117,    0
   176,105265,20000817,  118,    0
   176,105265,20000818,  116,    0
   176,105265,20000819,  117,    0
   176,105265,20000820,  120,    0
   176,105265,20000821,  116,    0
   176,105265,20000822,  105,    0
   176,105265,20000823,   86,    0
   176,105265,20000824,   80,    0
   176,105265,20000825,  107,    0
   176,105265,20000826,  100,    0
   176,105265,20000827,  100,    0
   176,105265,20000828,   95,    0
   176,105265,20000829,   99,    0
   176,105265,20000830,  100,    0
   176,105265,20000831,   25,    0
   176,105265,20000901,  108,    0
   176,105265,20000902,  110,    0
   176,105265,20000903,  109,    0
   176,105265,20000904,   64,    0
   176,105265,20000905,  112,    0
   176,105265,20000906,  110,    0
